County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016,GreenVotes,Total_Votes_Green,LibVotes,Total_Lib_Votes,Total_TP_ExLibGreen,TV_EXLIBGREEN,TV_THIRDPARTY,TP_TV2016_EXLIBGREEN,GreenVotes16,Total_Votes_Green16,LibVotes16,Total_Votes_Lib16,White_Total,White_VA,Hispanic_Total,Hispanic_VA,Black_Total,Black_VA,Asian_Total,Asian_VA,AI_Total,AI_VA,population2017,population2018,population2016,population2019,percentbornNOTCO,percentbornCO,percentbornforeign,MHI_STATE,MHI,CountyDiffMHI,StateHSONLY,StateBAONLY,StateGRAD,StateHSPLUS,StateBAPLUS,CountyHSONLY,CountyBAONLY,CountyGRAD,CountyHSPLUS,CountyBAPLUS
CONEJOS,President,1959,1804352,0.554,2286,1364607,0.419,8161,1771,1338870,0.4816,1914,1202484,0.4325,8022,9,8986,34,52460,45,26575,88021,147,24,38437,166,144121,0.461211802,0.437938647,0.516845545,0.540363768,0.007697674,0.006441728,0.005409176,0.006029853,0.008835803,0.009226004,8120,8139,8022,8161,0.192790354,0.781988189,0.017593504,72331,36084,-36247,0.214,0.256,0.153,0.917,0.409,0.339,0.141,0.069,0.88,0.21
COSTILLA,President,1311,1804352,0.554,741,1364607,0.419,3872,1125,1338870,0.4816,588,1202484,0.4325,3706,4,8986,15,52460,23,26575,88021,33,19,38437,83,144121,0.344290613,0.355110812,0.614922526,0.605247121,0.012633099,0.009621861,0.013406554,0.014432791,0.014747209,0.015587415,3772,3816,3706,3872,0.326034713,0.574899866,0.09212283,72331,30965,-41366,0.214,0.256,0.153,0.917,0.409,0.245,0.108,0.085,0.81,0.193
CROWLEY,President,437,1804352,0.554,1271,1364607,0.419,6032,339,1338870,0.4816,1079,1202484,0.4325,5252,0,8986,22,52460,20,26575,88021,35,11,38437,63,144121,0.557228375,0.547117132,0.31148156,0.307961849,0.10104882,0.112129218,0.012249825,0.013866247,0.01799142,0.018925553,5825,5939,5252,6032,0.333333333,0.611400765,0.034410845,72331,42135,-30196,0.214,0.256,0.153,0.917,0.409,0.426,0.072,0.019,0.861,0.09
CUSTER,President,1112,1804352,0.554,2474,1364607,0.419,5059,797,1338870,0.4816,2061,1202484,0.4325,4577,5,8986,29,52460,15,26575,88021,43,24,38437,141,144121,0.906233298,0.906792208,0.058413666,0.059663166,0.020942616,0.019664091,0.005562264,0.005621617,0.008848156,0.008258918,4854,4924,4577,5059,0.587520938,0.364530988,0.031197655,72331,53119,-19212,0.214,0.256,0.153,0.917,0.409,0.208,0.218,0.108,0.936,0.325
DELTA,President,5887,1804352,0.554,13081,1364607,0.419,31173,4087,1338870,0.4816,11655,1202484,0.4325,30372,45,8986,218,52460,139,26575,88021,318,255,38437,475,144121,0.821299315,0.845267359,0.154129983,0.131108155,0.008964552,0.00842285,0.008216972,0.00764053,0.007389178,0.007561106,30578,30919,30372,31173,0.411810895,0.527466056,0.046327499,72331,45269,-27062,0.214,0.256,0.153,0.917,0.409,0.383,0.137,0.08,0.907,0.217
DENVER,President,313293,1804352,0.554,71618,1364607,0.419,729239,244551,1338870,0.4816,62690,1202484,0.4325,697744,1230,8986,4870,52460,2818,26575,88021,4170,5580,38437,14861,144121,0.554867949,0.598872202,0.297021012,0.257978755,0.098006998,0.092847578,0.043378468,0.043506335,0.006725573,0.00679513,706615,718184,697744,729239,0.434729923,0.39940134,0.149747157,72331,68592,-3739,0.214,0.256,0.153,0.917,0.409,0.168,0.302,0.193,0.88,0.494
DOLORES,President,341,1804352,0.554,1089,1364607,0.419,2037,242,1338870,0.4816,944,1202484,0.4325,2050,1,8986,5,52460,13,26575,88021,25,13,38437,31,144121,0.885143754,0.896813261,0.06397802,0.057618203,0.010941026,0.008012722,0.003287214,0.00409811,0.036649985,0.033457704,2039,2054,2050,2037,0.512116317,0.453419494,0.011847065,72331,45972,-26359,0.214,0.256,0.153,0.917,0.409,0.362,0.135,0.106,0.938,0.241
DOUGLAS,President,104653,1804352,0.554,121270,1364607,0.419,351528,68657,1338870,0.4816,102573,1202484,0.4325,328548,432,8986,3715,52460,1535,26575,88021,4581,1477,38437,10212,144121,0.832693154,0.840183744,0.089272263,0.08416528,0.0173395,0.016679911,0.057076353,0.05530213,0.00361873,0.003668934,336149,343326,328548,351528,0.538728905,0.371499311,0.076356754,72331,119730,47399,0.214,0.256,0.153,0.917,0.409,0.12,0.372,0.208,0.981,0.58
EAGLE,President,18588,1804352,0.554,9892,1364607,0.419,55070,14099,1338870,0.4816,8990,1202484,0.4325,54529,78,8986,377,52460,205,26575,88021,343,423,38437,1368,144121,0.673880597,0.714564826,0.297655881,0.255769262,0.012105531,0.012642387,0.012604859,0.012983269,0.003753132,0.004040256,54905,54891,54529,55070,0.480751998,0.327865255,0.175417421,72331,84790,12459,0.214,0.256,0.153,0.917,0.409,0.152,0.339,0.133,0.883,0.472
ELBERT,President,4490,1804352,0.554,14027,1364607,0.419,26686,3134,1338870,0.4816,11705,1202484,0.4325,25112,31,8986,306,52460,129,26575,88021,337,138,38437,666,144121,0.892336033,0.903753785,0.072869279,0.066534594,0.016717775,0.01179307,0.011925221,0.011638882,0.006151692,0.00627967,25733,26272,25112,26686,0.50398569,0.46082358,0.027297119,72331,99199,26868,0.214,0.256,0.153,0.917,0.409,0.241,0.244,0.114,0.967,0.358
